date,lon,lat,pm25_ug_m3,pblh_m,u_pbl_m_s,v_pbl_m_s,flux_east_t_d,flux_north_t_d,flux_magnitude_t_d,transport_east_t_d_per_m,transport_north_t_d_per_m,wind_valid_hour_count
2024/2/18,113.4,31.1,30.50277273,513.3833,-0.505445672,9.590734981,-7.604212657,123.549477,123.7832676,-0.000683863,0.012976175,24
2024/2/18,113.5,31.1,30.90420715,529.17816,-0.406122588,9.705718921,-6.380803614,130.5735443,130.7293584,-0.000573839,0.0137139,24
2024/2/18,113.6,31.1,32.6720618,536.5692,-1.38225178,9.925361198,-23.2802776,143.1385347,145.0193485,-0.002093646,0.015033578,24
2024/2/18,113.7,31.1,34.58804354,547.1588,-2.013003377,9.697589391,-36.60012797,150.9771218,155.3501229,-0.003291529,0.01585685,24
2024/2/18,113.8,31.1,35.83359747,539.80304,-2.061892783,9.648618178,-38.31691454,153.5319699,158.241119,-0.003445923,0.016125181,24
2024/2/18,113.9,31.1,37.76720983,513.74713,-2.664957357,9.786285769,-49.67676303,156.2032869,163.9123169,-0.004467539,0.016405745,24
2024/2/18,114,31.1,38.19579149,522.4388,-2.600179402,9.84953047,-49.84860002,161.6867495,169.1965954,-0.004482992,0.016981663,24
2024/2/18,114.1,31.1,38.85470796,552.1319,-2.584685177,10.20497282,-53.27124613,180.0969285,187.8103547,-0.004790798,0.01891525,24
2024/2/18,114.2,31.1,39.06626655,550.6322,-2.593672342,10.19571354,-53.60154892,180.4218382,188.2157426,-0.004820503,0.018949375,24
2024/2/18,114.3,31.1,37.63549927,500.30997,-3.451955591,9.46331909,-62.44544349,146.5845805,159.3313297,-0.005615854,0.015395509,24
2024/2/18,114.4,31.1,36.47768868,444.1578,-3.8151006,9.049788973,-59.38398191,120.6176945,134.4436147,-0.00534053,0.012668255,24
2024/2/18,114.5,31.1,35.87291197,426.6486,-4.852048996,8.405483419,-71.34455764,105.8297128,127.6321825,-0.00641617,0.011115101,24
2024/2/18,114.6,31.1,34.56582564,417.39047,-4.909433709,8.32862546,-68.04866026,98.84865424,120.0069857,-0.006119763,0.010381893,24
2024/2/18,114.7,31.1,33.6451852,417.7121,-4.907627044,8.33108565,-66.26287045,96.31846292,116.9102831,-0.005959163,0.010116151,24
2024/2/18,114.8,31.1,33.16696987,419.362,-5.929841372,8.557260556,-79.23857597,97.91237652,125.9586654,-0.007126096,0.010283557,24
2024/2/18,114.9,31.1,31.67446135,424.1639,-5.900010042,8.594070998,-76.15429598,94.98386635,121.7432202,-0.00684872,0.009975981,24
2024/2/18,115,31.1,,,,,,,,,,0
2024/2/18,105,31.2,,1171.7639,-1.102240315,-0.67140505,,,,,,24
2024/2/18,105.1,31.2,39.75382596,1139.2206,-1.112951511,-0.707918474,-48.42411809,-26.34631154,55.12733754,-0.004354886,-0.002770025,24
2024/2/18,105.2,31.2,39.77684949,1103.9177,-1.125285119,-0.749962547,-47.47099881,-27.06178687,54.64280407,-0.004269169,-0.00284525,24
2024/2/18,105.3,31.2,39.92855135,1067.9684,-1.261435399,-0.891162277,-51.67799859,-31.22831604,60.38065303,-0.004647514,-0.003283315,24
2024/2/18,105.4,31.2,37.80136139,1042.3168,-1.274860919,-0.674139002,-48.25793143,-21.82762317,52.9648287,-0.00433994,-0.002294935,24
2024/2/18,105.5,31.2,36.5769063,1019.84955,-1.373258641,-0.787744433,-49.21461974,-24.14783703,54.81967557,-0.004425977,-0.00253888,24
2024/2/18,105.6,31.2,37.13397241,997.21606,-1.38452712,-0.836297865,-49.25619465,-25.44904431,55.44210104,-0.004429716,-0.002675688,24
2024/2/18,105.7,31.2,38.27463293,974.74963,-1.481764028,-0.948039908,-53.11068172,-29.06568403,60.54385601,-0.004776358,-0.003055938,24
2024/2/18,105.8,31.2,40.00504241,953.58765,-1.481686991,-0.977169806,-54.30383938,-30.63340037,62.34831345,-0.004883662,-0.003220766,24
2024/2/18,105.9,31.2,41.28766944,943.0833,-1.481646858,-0.992111432,-55.42603899,-31.7453919,63.87343505,-0.004984583,-0.003337679,24
2024/2/18,106,31.2,42.13946019,933.4826,-1.593903637,-0.922144277,-60.23597881,-29.80875831,67.20814843,-0.005417152,-0.003134064,24
2024/2/18,106.1,31.2,42.54233915,936.3738,-1.594200909,-0.91756173,-61.01159612,-30.03694268,68.00465268,-0.005486905,-0.003158055,24
2024/2/18,106.2,31.2,42.9881593,942.3351,-1.796517466,-0.616561672,-69.91725618,-20.52487668,72.86764217,-0.00628781,-0.002157965,24
2024/2/18,106.3,31.2,42.82371954,944.92316,-1.796760237,-0.612181075,-69.85053275,-20.35685085,72.75643134,-0.006281809,-0.002140299,24
2024/2/18,106.4,31.2,42.39864325,943.53894,-2.079373474,-0.17911505,-79.91770476,-5.888350895,80.13433852,-0.007187172,-0.000619095,24
2024/2/18,106.5,31.2,43.53136648,940.85175,-2.079437743,-0.184105733,-81.82163146,-6.196416823,82.05592579,-0.007358396,-0.000651485,24
2024/2/18,106.6,31.2,43.0635976,933.01715,-2.079627233,-0.198820337,-80.27570834,-6.564634583,80.5436762,-0.007219368,-0.000690199,24
2024/2/18,106.7,31.2,40.94884809,925.04144,-2.35925521,0.228937,-85.85715947,7.126375139,86.15240597,-0.00772132,0.00074926,24
2024/2/18,106.8,31.2,38.59719358,912.5725,-2.360845122,0.202234967,-79.8894291,5.853682576,80.10359843,-0.007184629,0.00061545,24
2024/2/18,106.9,31.2,37.6500683,898.8492,-2.565885297,0.414553112,-83.42352907,11.52876003,84.21637317,-0.007502458,0.001212123,24
2024/2/18,107,31.2,38.13467867,893.1868,-2.566423679,0.401504026,-83.98262716,11.23833845,84.73123342,-0.007552739,0.001181588,24
2024/2/18,107.1,31.2,38.74858729,895.5136,-2.70328156,0.528388342,-90.11935119,15.06714965,91.37021647,-0.008104628,0.001584145,24
2024/2/18,107.2,31.2,40.23754769,896.6268,-2.703289869,0.530759373,-93.69891288,15.73586814,95.0110721,-0.008426546,0.001654454,24
2024/2/18,107.3,31.2,43.29290757,891.03064,-2.827323806,0.644652527,-104.7812699,20.43548254,106.7554377,-0.009423206,0.002148567,24
2024/2/18,107.4,31.2,45.52713779,885.0366,-2.827315839,0.632920169,-109.4471911,20.95705868,111.4355686,-0.009842822,0.002203405,24
2024/2/18,107.5,31.2,44.67090111,875.7414,-2.827303269,0.614408688,-106.2604632,19.75184906,108.0806254,-0.009556233,0.00207669,24
2024/2/18,107.6,31.2,40.11393688,866.3232,-2.956170175,0.783132966,-98.69686954,22.36457002,101.1990417,-0.008876023,0.002351389,24
2024/2/18,107.7,31.2,39.82557248,858.1628,-2.957076071,0.768308986,-97.09411867,21.57831059,99.46301508,-0.008731884,0.002268722,24
2024/2/18,107.8,31.2,38.21675059,850.78265,-3.061763894,0.931511107,-95.64071084,24.88915977,98.82619007,-0.008601176,0.002616822,24
2024/2/18,107.9,31.2,36.86895297,844.38275,-3.063035295,0.919591456,-91.61168545,23.52582704,94.58417124,-0.008238837,0.002473482,24
2024/2/18,108,31.2,37.21794438,841.17896,-3.018323976,0.910294957,-90.78317187,23.41923669,93.75523954,-0.008164327,0.002462276,24
2024/2/18,108.1,31.2,35.07386308,837.8978,-3.018101849,0.904018652,-85.21327541,21.83241905,87.96565709,-0.007663414,0.002295439,24
2024/2/18,108.2,31.2,33.62040137,845.8553,-3.018637574,0.919155854,-82.47240464,21.48018126,85.22379782,-0.007416922,0.002258405,24
2024/2/18,108.3,31.2,33.82884044,855.28174,-2.81094276,0.852425467,-78.13525411,20.26761021,80.72108744,-0.007026872,0.002130917,24
2024/2/18,108.4,31.2,32.92582223,869.09576,-2.819336504,0.870377154,-77.50859952,20.46734728,80.16542462,-0.006970516,0.002151917,24
2024/2/18,108.5,31.2,31.7145317,885.89343,-2.728245136,1.237666533,-73.64137494,28.57546108,78.99119621,-0.006622728,0.003004396,24
2024/2/18,108.6,31.2,30.00727177,902.8018,-2.736138527,1.652646811,-71.21241669,36.79161,80.15504262,-0.006404286,0.003868234,24
2024/2/18,108.7,31.2,30.48601921,919.4968,-2.598248776,2.520005086,-69.97298286,58.04999328,90.91765533,-0.006292822,0.006103319,24
2024/2/18,108.8,31.2,30.40497491,936.3484,-2.591452625,2.546113925,-70.88006562,59.56755431,92.58659313,-0.006374397,0.006262874,24
2024/2/18,108.9,31.2,32.67764621,943.3104,-2.588715771,2.556628121,-76.66347019,64.76237481,100.3566283,-0.006894512,0.006809053,24
2024/2/18,109,31.2,33.21507372,950.897,-2.040662655,3.329926827,-61.9210953,86.42774928,106.3201669,-0.005568698,0.009086929,24
2024/2/18,109.1,31.2,32.72083891,967.13525,-2.026714293,3.357445747,-61.61733174,87.31130134,106.8642078,-0.00554138,0.009179825,24
2024/2/18,109.2,31.2,32.45314572,984.8905,-1.3904509,3.310183735,-42.69717296,86.9454108,96.86357952,-0.003839849,0.009141355,24
2024/2/18,109.3,31.2,33.32562308,1001.09503,-1.36109763,3.34826174,-43.62561639,91.79579742,101.6349489,-0.003923346,0.00965132,24
2024/2/18,109.4,31.2,34.63020431,1020.58923,-0.915956781,3.468620556,-31.10138518,100.7424813,105.4340728,-0.002797015,0.010591966,24
2024/2/18,109.5,31.2,34.85017518,1038.5323,-0.891663257,3.504699493,-31.00448771,104.2378811,108.7511569,-0.002788301,0.010959469,24
2024/2/18,109.6,31.2,35.0871728,1046.804,-0.880744476,3.520915255,-31.07866768,106.2720692,110.7232418,-0.002794972,0.011173341,24
2024/2/18,109.7,31.2,34.37635659,1055.909,-0.348644825,4.18305036,-12.1581718,124.775479,125.3664281,-0.001093411,0.013118772,24
2024/2/18,109.8,31.2,32.40903176,1058.8412,-0.344428574,4.187389452,-11.35519972,118.0837286,118.6284431,-0.001021198,0.012415208,24
2024/2/18,109.9,31.2,29.87398195,1054.6554,0.545215876,4.399994523,16.50330414,113.9214873,115.1106611,0.001484178,0.011977594,24
2024/2/18,110,31.2,29.05786645,1044.33,0.52708705,4.384137923,15.36676815,109.3290315,110.4036897,0.001381967,0.011494747,24
2024/2/18,110.1,31.2,29.86523119,1026.7592,1.420186063,3.88503627,41.83872541,97.89925275,106.4647483,0.003762647,0.010293032,24
2024/2/18,110.2,31.2,30.18528031,1006.55383,1.376443535,3.842610253,40.17809436,95.94191249,104.0150462,0.003613303,0.010087239,24
2024/2/18,110.3,31.2,29.83718772,1020.4386,1.406688806,3.871945238,41.14731599,96.87769263,105.253926,0.003700467,0.010185626,24
2024/2/18,110.4,31.2,30.30794512,1037.0958,1.789420284,3.093542461,54.03640384,79.90634468,96.46220431,0.004859611,0.008401275,24
2024/2/18,110.5,31.2,31.14374118,1060.5356,1.842145936,3.145873642,58.45461176,85.38608923,103.478142,0.00525695,0.00897741,24
2024/2/18,110.6,31.2,31.65434559,1091.2699,2.058866677,2.565503172,68.32701617,72.82623986,99.86111531,0.006144796,0.00765688,24
2024/2/18,110.7,31.2,31.8485127,1110.2212,2.100680003,2.604665723,71.36040207,75.68337351,104.0205749,0.006417595,0.007957276,24
2024/2/18,110.8,31.2,32.07947258,1094.6744,2.663298438,2.895405335,89.85261702,83.55479283,122.6983952,0.00808064,0.008784869,24
2024/2/18,110.9,31.2,32.77367903,1075.2816,3.660014537,3.778982234,123.9164423,109.4389899,165.3244603,0.011144073,0.011506308,24
2024/2/18,111,31.2,32.91434505,1037.8958,3.54846021,3.724879769,116.4602256,104.5685405,156.5169761,0.01047352,0.010994234,24
2024/2/18,111.1,31.2,33.57539172,1000.5924,3.5275897,3.805044269,113.8557764,105.048007,154.9135939,0.010239296,0.011044645,24
2024/2/18,111.2,31.2,34.60896438,984.9463,3.474899948,3.784622544,113.7999776,106.01652,155.5311461,0.010234278,0.011146473,24
2024/2/18,111.3,31.2,35.45339024,981.8536,2.578850496,4.055361936,86.24409879,116.0069326,144.5532877,0.007756118,0.012196855,24
2024/2/18,111.4,31.2,37.57640846,975.4498,2.562442562,4.050186686,90.23458941,121.9958477,151.7407921,0.008114992,0.012826524,24
2024/2/18,111.5,31.2,38.66310418,956.5559,1.953458672,5.295043533,69.40807782,160.9260772,175.2560515,0.006242018,0.01691961,24
2024/2/18,111.6,31.2,40.17545027,934.84644,1.930438364,5.266182752,69.65554368,162.5349541,176.8318582,0.006264274,0.017088766,24
2024/2/18,111.7,31.2,40.87589685,907.2414,1.899575374,5.227489526,67.67767033,159.3063698,173.0860668,0.006086399,0.016749316,24
2024/2/18,111.8,31.2,41.29926014,876.9926,2.010244205,6.747038241,69.94968036,200.8173294,212.6512581,0.006290726,0.021113737,24
2024/2/18,111.9,31.2,41.29997589,865.7339,1.992128279,6.717344581,68.43058258,197.3702377,208.8965183,0.00615411,0.020751313,24
2024/2/18,112,31.2,42.6948988,862.9271,2.208802729,7.951621759,78.18181383,240.7440849,253.1207428,0.007031059,0.025311597,24
2024/2/18,112.1,31.2,44.96551129,862.0118,2.207021153,7.947914041,82.18602156,253.1603711,266.1667065,0.007391166,0.026617033,24
2024/2/18,112.2,31.2,45.75751009,869.4527,2.188859981,8.477622495,83.66138324,277.1610727,289.5124994,0.007523849,0.029140444,24
2024/2/18,112.3,31.2,47.11335318,878.9117,2.20663669,8.525394932,87.78469632,290.1039103,303.094757,0.007894667,0.030501241,24
2024/2/18,112.4,31.2,49.2022273,836.45984,2.123708205,8.302536145,83.96985777,280.7956966,293.0821732,0.007551591,0.029522585,24
2024/2/18,112.5,31.2,51.95132798,801.2348,1.861499272,8.618427674,74.44200178,294.8046394,304.0581968,0.00669473,0.030995471,24
2024/2/18,112.6,31.2,52.32257071,728.6994,1.719703353,8.19412573,62.99262968,256.7378644,264.3527991,0.005665063,0.026993168,24
2024/2/18,112.7,31.2,49.18467856,637.94293,1.494724155,9.155443604,45.05795056,236.0700398,240.3316096,0.004052159,0.024820173,24
2024/2/18,112.8,31.2,47.70651793,557.1926,1.106846225,8.646303651,28.2663064,188.8701641,190.9736185,0.00254205,0.019857624,24
2024/2/18,112.9,31.2,43.52924904,488.9687,0.987089551,9.544555873,20.18447717,166.9428312,168.1586216,0.001815234,0.017552206,24
2024/2/18,113,31.2,39.180715,415.7357,0.614485993,8.873269826,9.616131191,118.7744916,119.1631228,0.000864799,0.012487834,24
2024/2/18,113.1,31.2,36.21282935,415.1521,0.610988722,8.86696911,8.824733647,109.5455419,109.900417,0.000793627,0.011517511,24
2024/2/18,113.2,31.2,34.00467459,414.83786,-0.527930788,8.48199879,-7.15472118,98.32524331,98.58520938,-0.00064344,0.01033782,24
2024/2/18,113.3,31.2,32.89869088,436.4622,-0.349172602,8.7302557,-4.816861159,103.0153716,103.1279251,-0.000433191,0.010830935,24
2024/2/18,113.4,31.2,32.6000727,468.54968,-1.640666766,8.864764516,-24.07649759,111.2733679,113.8483208,-0.002165251,0.011699173,24
